id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30065796,Fliphaus ✔️Patio & Grill II in Palermo Soho!,1021694,Fliphaus,,Palermo,-34.59027,-58.43277,Entire home/apt,1661,1,47,2021-02-21,1.71,54,89
30066074,Fliphaus ✔️Sunny Terrace nearby Plaza Serrano!,1021694,Fliphaus,,Villa Crespo,-34.59131,-58.43496,Entire home/apt,2712,2,65,2021-02-06,2.36,54,0
30068235,UN LUGAR EN EL MUNDO; EN MEDIO DE LA CIUDAD,172777151,Leonor,,Flores,-34.62555,-58.45765,Private room,895,7,0,,,1,365
30068832,En el corazón de Palermo con patio y parrilla,27972180,Leonardo,,Palermo,-34.58252,-58.43452,Entire home/apt,4925,2,44,2020-01-18,1.61,5,179
30077192,"APART. OBELISCO CENTRO ,CON BALCON.",14199716,Cristina,,San Nicolas,-34.60358,-58.38522,Entire home/apt,1342,8,4,2020-09-12,0.18,7,141
30079768,Departamento Studio Alto Palermo,95628232,Fernando,,Palermo,-34.58659,-58.41159,Entire home/apt,1994,7,5,2020-05-21,0.19,9,306
30079936,Bright 2 Bdr Apt in the heart of Recoleta.,11483615,Mariana,,Recoleta,-34.59135,-58.39047,Entire home/apt,5815,3,8,2019-11-30,0.34,32,179
30080549,VELEN´S APARTMENT IN PALERMO SOHO,20583018,Emanuel,,Palermo,-34.5814,-58.42787,Entire home/apt,1879,1,89,2020-03-20,3.21,10,90
30081171,Private room in recoleta (1),11268374,Lu,,Recoleta,-34.59019,-58.39421,Private room,677,30,6,2020-02-17,0.22,5,89
30081565,Habitación privada. Cama doble.,166769995,Yise,,Almagro,-34.60053,-58.41255,Private room,1230,2,0,,,1,90
30082133,"Luminosa, ECONÓMICA y con parrilla en San Telmo!",3587094,Marlene,,Monserrat,-34.61756,-58.38129,Private room,895,3,1,2021-02-01,1,9,262
30082158,Studio Guardia Vieja - Style New,226041956,Felipe,,Almagro,-34.60006,-58.41676,Entire home/apt,2058,2,39,2020-03-18,1.42,2,180
30083980,Studio en Azcuenaga y Peña,226049318,Maxim,,Recoleta,-34.59138,-58.39812,Entire home/apt,1300,7,2,2019-02-10,0.08,78,89
30084376,Departamento studio en San Telmo,226058094,Casa,,Monserrat,-34.61214,-58.37063,Entire home/apt,1600,7,0,,,5,4
30085002,Departamento Mono-ambiente,155839393,Carlos,,Balvanera,-34.61213,-58.39654,Entire home/apt,1347,5,18,2019-12-29,0.67,1,180
30086351,Casa Sol,226070724,Blanca,,Barracas,-34.63363,-58.38143,Private room,890,6,14,2020-01-05,0.53,1,5
30086840,Departamento  muy amplio y luminoso en San Telmo,74261,Andrea,,San Telmo,-34.61979,-58.37486,Entire home/apt,53728,31,0,,,1,365
30087191,"Dpto de 1 dormitorio, 4 Personas en Centro de BA",55553719,For Rent Argentina,,San Nicolas,-34.60042,-58.37452,Entire home/apt,6531,5,1,2018-12-03,0.04,97,55
